EPOCH,BS,MSE,TIME
0,16,155.70289606929273,16.787137746810913
1,16,149.75306583364127,15.833104610443115
2,16,179.56071942746013,15.735536575317383
0,32,91.07948194781432,12.299190759658813
1,32,155.28061863207378,12.189753532409668
2,32,129.67530680876376,12.17944598197937
3,32,176.94925250220004,12.086262226104736
0,64,109.70526004512762,10.539752721786499
1,64,115.92120705703873,10.569003820419312
2,64,121.2683483895042,10.629931688308716
0,128,141.0000602237729,9.980048894882202
1,128,179.32441814212058,9.95892333984375
2,128,214.57626419042305,9.951007604598999
0,256,117.88990800559125,9.737094163894653
1,256,141.32554518680374,9.625212907791138
2,256,126.4866320327216,9.670226335525513
3,256,114.884108386455,9.658954381942749
4,256,118.730586803365,9.693703174591064
0,512,78.58635193296813,10.046549558639526
1,512,70.86709822900112,9.701098918914795
2,512,81.05775057802919,9.72306513786316
0,1024,108.04274536774527,9.53506064414978
1,1024,105.54193697427432,9.52786374092102
2,1024,103.2631161158591,9.560081005096436
3,1024,120.69838605062807,9.544880867004395
